title,website_url,source,grades_or_ages,prices_mentioned,description
IXL Family Membership,https://www.ixl.com/membership/family/pricing,IXL,Grades Pre-K-12,$9.95-$19.95/mo,IXL family membership for unlimited practice across subjects and grade levels.
IXL | Learn 4th grade language arts,https://www.ixl.com/ela/grade-4,IXL,Grade 4,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 4. Requires IXL family membership.
IXL | Learn 4th grade math,https://www.ixl.com/math/grade-4,IXL,Grade 4,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 4. Requires IXL family membership.
IXL | Learn 4th grade science,https://www.ixl.com/science/grade-4,IXL,Grade 4,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 4. Requires IXL family membership.
IXL | Learn 4th grade social studies,https://www.ixl.com/social-studies/grade-4,IXL,Grade 4,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 4. Requires IXL family membership.
IXL | Learn 5th grade language arts,https://www.ixl.com/ela/grade-5,IXL,Grade 5,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 5. Requires IXL family membership.
IXL | Learn 5th grade math,https://www.ixl.com/math/grade-5,IXL,Grade 5,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 5. Requires IXL family membership.
IXL | Learn 5th grade science,https://www.ixl.com/science/grade-5,IXL,Grade 5,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 5. Requires IXL family membership.
IXL | Learn 5th grade social studies,https://www.ixl.com/social-studies/grade-5,IXL,Grade 5,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 5. Requires IXL family membership.
IXL | Learn 6th grade language arts,https://www.ixl.com/ela/grade-6,IXL,Grade 6,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 6. Requires IXL family membership.
IXL | Learn 6th grade math,https://www.ixl.com/math/grade-6,IXL,Grade 6,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 6. Requires IXL family membership.
IXL | Learn 6th grade science,https://www.ixl.com/science/grade-6,IXL,Grade 6,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 6. Requires IXL family membership.
IXL | Learn 6th grade social studies,https://www.ixl.com/social-studies/grade-6,IXL,Grade 6,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 6. Requires IXL family membership.
IXL | Learn 7th grade language arts,https://www.ixl.com/ela/grade-7,IXL,Grade 7,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 7. Requires IXL family membership.
IXL | Learn 7th grade math,https://www.ixl.com/math/grade-7,IXL,Grade 7,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 7. Requires IXL family membership.
IXL | Learn 7th grade science,https://www.ixl.com/science/grade-7,IXL,Grade 7,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 7. Requires IXL family membership.
IXL | Learn 7th grade social studies,https://www.ixl.com/social-studies/grade-7,IXL,Grade 7,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 7. Requires IXL family membership.
IXL | Learn 8th grade language arts,https://www.ixl.com/ela/grade-8,IXL,Grade 8,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 8. Requires IXL family membership.
IXL | Learn 8th grade math,https://www.ixl.com/math/grade-8,IXL,Grade 8,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 8. Requires IXL family membership.
IXL | Learn 8th grade science,https://www.ixl.com/science/grade-8,IXL,Grade 8,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 8. Requires IXL family membership.
IXL | Learn 8th grade social studies,https://www.ixl.com/social-studies/grade-8,IXL,Grade 8,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 8. Requires IXL family membership.
IXL | Learn 9th grade language arts,https://www.ixl.com/ela/grade-9,IXL,Grade 9,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 9. Requires IXL family membership.
IXL | Learn Algebra 1,https://www.ixl.com/math/grade-9,IXL,Grade 9,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 9. Requires IXL family membership.
IXL | Learn Algebra 1,https://www.ixl.com/math/algebra-1,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Algebra 1.
IXL | Learn Algebra 2,https://www.ixl.com/math/grade-11,IXL,Grade 11,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 11. Requires IXL family membership.
IXL | Learn Algebra 2,https://www.ixl.com/math/algebra-2,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Algebra 2.
IXL | Learn Biology,https://www.ixl.com/science/grade-9,IXL,Grade 9,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 9. Requires IXL family membership.
IXL | Learn Biology,https://www.ixl.com/science/biology,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Science high school course: Biology.
IXL | Learn Calculus,https://www.ixl.com/math/calculus,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Calculus.
IXL | Learn Chemistry,https://www.ixl.com/science/grade-10,IXL,Grade 10,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 10. Requires IXL family membership.
IXL | Learn Chemistry,https://www.ixl.com/science/chemistry,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Science high school course: Chemistry.
IXL | Learn Civics & government,https://www.ixl.com/social-studies/grade-11,IXL,Grade 11,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 11. Requires IXL family membership.
IXL | Learn Civics & government,https://www.ixl.com/social-studies/civics,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies high school course: Civics.
IXL | Learn earth science,https://www.ixl.com/science/earth-science,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Science high school course: Earth Science.
IXL | Learn economics,https://www.ixl.com/social-studies/economics,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies high school course: Economics.
IXL | Learn geography,https://www.ixl.com/social-studies/geography,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies high school course: Geography.
IXL | Learn Geometry,https://www.ixl.com/math/grade-10,IXL,Grade 10,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 10. Requires IXL family membership.
IXL | Learn Geometry,https://www.ixl.com/math/geometry,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Geometry.
IXL | Learn kindergarten language arts,https://www.ixl.com/ela/kindergarten,IXL,Kindergarten,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Kindergarten. Requires IXL family membership.
IXL | Learn kindergarten math,https://www.ixl.com/math/kindergarten,IXL,Kindergarten,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Kindergarten. Requires IXL family membership.
IXL | Learn kindergarten science,https://www.ixl.com/science/kindergarten,IXL,Kindergarten,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Kindergarten. Requires IXL family membership.
IXL | Learn kindergarten social studies,https://www.ixl.com/social-studies/kindergarten,IXL,Kindergarten,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Kindergarten. Requires IXL family membership.
IXL | Learn Physics,https://www.ixl.com/science/grade-11,IXL,Grade 11,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 11. Requires IXL family membership.
IXL | Learn Physics,https://www.ixl.com/science/physics,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Science high school course: Physics.
IXL | Learn pre-K language arts,https://www.ixl.com/ela/pre-k,IXL,Ages 4-5,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Pre-K. Requires IXL family membership.
IXL | Learn pre-K math,https://www.ixl.com/math/pre-k,IXL,Ages 4-5,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Pre-K. Requires IXL family membership.
IXL | Learn Precalculus,https://www.ixl.com/math/grade-12,IXL,Grade 12,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 12. Requires IXL family membership.
IXL | Learn Precalculus,https://www.ixl.com/math/precalculus,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Precalculus.
IXL | Learn U.S. History,https://www.ixl.com/social-studies/grade-10,IXL,Grade 10,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 10. Requires IXL family membership.
IXL | Learn U.S. History,https://www.ixl.com/social-studies/us-history,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies high school course: Us History.
IXL | Learn vocabulary,https://www.ixl.com/ela/vocabulary,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Language Arts high school course: Vocabulary.
IXL | Learn world history,https://www.ixl.com/social-studies/world-history,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies high school course: World History.
IXL | Learn writing strategies,https://www.ixl.com/ela/writing-strategies,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Language Arts high school course: Writing Strategies.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/pre-k,IXL,Ages 4-5,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Pre-K. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/kindergarten,IXL,Kindergarten,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Kindergarten. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-1,IXL,Grade 1,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 1. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-2,IXL,Grade 2,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 2. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-3,IXL,Grade 3,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 3. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-4,IXL,Grade 4,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 4. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-5,IXL,Grade 5,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 5. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-6,IXL,Grade 6,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 6. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-7,IXL,Grade 7,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 7. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-8,IXL,Grade 8,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 8. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-9,IXL,Grade 9,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 9. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-10,IXL,Grade 10,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 10. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-11,IXL,Grade 11,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 11. Requires IXL family membership.
"IXL | Math, Language Arts, Science, Social Studies, and Spanish",https://www.ixl.com/spanish/grade-12,IXL,Grade 12,$9.95-$19.95/mo (IXL family membership),IXL Spanish practice and mastery skills for Grade 12. Requires IXL family membership.
